"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 15:58:12 UTC 2025","Tue Oct 21 15:58:16 UTC 2025","4195","tests","test_homepage","TestHomePage","","","Проверка загрузки главной страницы","Простой тест проверки успешной загрузки главной страницы"
"passed","Tue Oct 21 15:58:04 UTC 2025","Tue Oct 21 15:58:12 UTC 2025","8106","tests","test_homepage","TestHomePage","","","Проверка перехода по всем блокам навигации","Тест проверяет переходы по навигационным ссылкам: О нас, Услуги, Контакты"
