"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 15:47:45 UTC 2025","Tue Oct 21 15:47:47 UTC 2025","1913","tests","test_homepage","TestHomePage","","","Проверка загрузки главной страницы","Простой тест проверки успешной загрузки главной страницы"
"passed","Tue Oct 21 15:47:40 UTC 2025","Tue Oct 21 15:47:45 UTC 2025","5454","tests","test_homepage","TestHomePage","","","Проверка перехода по всем блокам навигации","Тест проверяет переходы по навигационным ссылкам: О нас, Услуги, Контакты"
