"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 19:51:22 UTC 2025","Tue Oct 21 19:51:27 UTC 2025","5421","tests","test_homepage","TestHomePage","","","Проверка перехода по всем блокам навигации","Тест проверяет переходы по навигационным ссылкам: О нас, Услуги, Контакты"
"passed","Tue Oct 21 19:51:28 UTC 2025","Tue Oct 21 19:51:30 UTC 2025","1923","tests","test_homepage","TestHomePage","","","Проверка загрузки главной страницы","Простой тест проверки успешной загрузки главной страницы"
